koi_dikco_msky,koi_dicco_msky,koi_max_mult_ev,koi_fwm_srao,koi_fwm_sdeco,koi_dikco_mra,koi_model_snr,koi_dikco_mdec,koi_dicco_mdec,koi_ror,koi_dicco_mra,koi_prad,koi_fpflag_ss,koi_dor,koi_fpflag_co,koi_max_sngle_ev,koi_period,koi_fwm_prao,koi_num_transits,koi_ldm_coeff1,koi_incl,koi_fwm_stat_sig,koi_depth,koi_fwm_pdeco,koi_ldm_coeff2,koi_bin_oedp_sig,koi_count,koi_fpflag_nt,koi_teq,koi_insol,koi_impact,koi_steff,koi_fwm_sra,koi_disposition_num
4.77,5.12,34.775192,8.13,-7.13,2.83,38.2,-3.84,-3.47,0.247006,3.77,28.59,1,5.92,1,9.854863,10.31872301,-0.00697,130.0,0.3661,78.15,0.0,871.7,0.0046,0.2844,0.9336,1,0,876.0,139.26,1.215,5927.0,19.4567842,0
0.26,0.26,34.037075,-0.18,-0.06,0.1,38.9,0.25,0.21,0.017724,0.15,2.06,0,7.93,0,4.680462,2.539183147,3e-05,528.0,0.4603,88.28,0.085,382.1,-0.00019,0.2291,0.2119,1,0,1332.0,743.09,0.238,5519.0,19.4293279,2
0.05,0.11,43.840405,-0.31,-0.73,0.05,50.8,-0.018,0.065,0.037414,0.09,2.77,0,15.21,0,6.5691905,6.770300385,0.0002,200.0,0.3117,86.84,0.005,1304.0,0.00057,0.308,0.9274,1,0,812.0,102.87,0.838,5653.0,19.3913608,2
7.94,7.365,277.1132,5.224,-35.165,0.65,299.7,-7.91,-7.217,0.396105,1.47,27.51,1,1.641,1,40.64358,0.444291966,-0.0478,1466.0,0.4535,39.97,0.0,10967.0,0.2722,0.2337,0.8848,1,0,1836.0,2706.26,1.258,5255.0,19.39991596,0
0.087,0.009,173.09894,-0.151,-0.099,-0.062,183.6,0.06,0.008,0.084708,0.004,7.73,0,12.776,0,27.099031,10.181584004,0.0008,129.0,0.3238,85.87,0.021,5741.1,-0.0003,0.2979,0.5397,1,0,812.0,102.91,0.92,5988.0,19.4187924,1
0.23,0.03,27.241827,0.56,0.04,-0.18,35.2,-0.15,-0.03,0.036455,0.0,1.96,0,40.4,0,7.1802754,20.06036336,-0.00124,59.0,0.2365,89.21,0.016,1494.7,-0.0001,0.4175,0.7533,4,0,361.0,4.0,0.556,3950.0,19.0719547,2
0.26,0.08,18.020908,0.08,-1.12,-0.25,26.0,-0.06,0.04,0.033974,-0.07,1.83,0,76.67,0,6.2605453,46.1842039,-0.00044,25.0,0.2365,89.99,0.006,1394.7,0.00144,0.4175,0.8358,4,0,273.0,1.32,0.013,3950.0,19.071943,2
0.53,0.64,10.87813,1.2,1.28,0.3,17.1,-0.46,-0.62,0.011879,0.1,1.31,0,11.98,0,4.1784496,23.9800854,-7e-05,56.0,0.3928,85.45,0.096,104.0,-0.000102,0.2676,0.9971,4,0,649.0,41.94,0.95,5854.0,20.05763,2
0.59,0.55,12.582854,1.18,-0.7,0.11,15.9,-0.58,-0.45,0.022312,0.31,1.2,0,20.2,0,3.8379083,7.82502168,-0.00071,154.0,0.2365,87.99,0.048,520.8,0.00031,0.4175,0.251,4,0,494.0,14.05,0.708,3950.0,19.07197,2
0.016,0.342,375.5263,0.026,-0.115,-0.01,370.8,-0.012,0.238,0.08689,-0.246,7.34,0,12.29,0,35.58241,3.895936525,0.00211,275.0,0.421,87.56,0.0,8544.8,-0.00111,0.2521,0.1164,1,0,1005.0,241.62,0.524,5557.0,19.6436833,2
