koi_dikco_msky,koi_dicco_msky,koi_fwm_srao,koi_max_mult_ev,koi_fwm_sdeco,koi_dikco_mra,koi_model_snr,koi_dicco_mdec,koi_ror,koi_prad,koi_dikco_mdec,koi_dicco_mra,koi_fpflag_ss,koi_dor,koi_fpflag_co,koi_ldm_coeff1,koi_max_sngle_ev,koi_period,koi_incl,koi_fwm_prao,koi_disposition_num
0.11,0.106,0.4,67.78838,-1.34,0.035,112.6,-0.105,0.318591,46.58,-0.1,-0.009,1,2.46,0,0.3534,10.709492,1.433769925,58.99,-0.00021,0
4.77,5.12,8.13,34.775192,-7.13,2.83,38.2,-3.47,0.247006,28.59,-3.84,3.77,1,5.92,1,0.3661,9.854863,10.31872301,78.15,-0.00697,0
0.26,0.26,-0.18,34.037075,-0.06,0.1,38.9,0.21,0.017724,2.06,0.25,0.15,0,7.93,0,0.4603,4.680462,2.539183147,88.28,3e-05,2
0.05,0.11,-0.31,43.840405,-0.73,0.05,50.8,0.065,0.037414,2.77,-0.018,0.09,0,15.21,0,0.3117,6.5691905,6.770300385,86.84,0.0002,2
7.94,7.365,5.224,277.1132,-35.165,0.65,299.7,-7.217,0.396105,27.51,-7.91,1.47,1,1.641,1,0.4535,40.64358,0.444291966,39.97,-0.0478,0
0.087,0.009,-0.151,173.09894,-0.099,-0.062,183.6,0.008,0.084708,7.73,0.06,0.004,0,12.776,0,0.3238,27.099031,10.181584004,85.87,0.0008,1
0.23,0.03,0.56,27.241827,0.04,-0.18,35.2,-0.03,0.036455,1.96,-0.15,0.0,0,40.4,0,0.2365,7.1802754,20.06036336,89.21,-0.00124,2
0.26,0.08,0.08,18.020908,-1.12,-0.25,26.0,0.04,0.033974,1.83,-0.06,-0.07,0,76.67,0,0.2365,6.2605453,46.1842039,89.99,-0.00044,2
0.53,0.64,1.2,10.87813,1.28,0.3,17.1,-0.62,0.011879,1.31,-0.46,0.1,0,11.98,0,0.3928,4.1784496,23.9800854,85.45,-7e-05,2
0.59,0.55,1.18,12.582854,-0.7,0.11,15.9,-0.45,0.022312,1.2,-0.58,0.31,0,20.2,0,0.2365,3.8379083,7.82502168,87.99,-0.00071,2
0.016,0.342,0.026,375.5263,-0.115,-0.01,370.8,0.238,0.08689,7.34,-0.012,-0.246,0,12.29,0,0.421,35.58241,3.895936525,87.56,0.00211,2
